Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,200.499222,205.343719,196.953781,201.063721,201.063721,2807932048
2021-03-20,201.033401,206.697708,200.177368,200.806427,200.806427,2529075165
2021-03-21,200.813843,202.848618,193.496140,196.427750,196.427750,2758761604
2021-03-22,196.429901,198.901260,186.617477,187.077835,187.077835,3115325434
2021-03-23,187.069107,189.957901,182.694229,187.393967,187.393967,3047428308
2021-03-24,187.339081,197.336945,175.843140,177.654953,177.654953,4051272249
2021-03-25,177.586411,179.126724,169.636169,173.061188,173.061188,3429325350
2021-03-26,173.022186,184.439072,172.742218,184.278671,184.278671,3109769980
2021-03-27,184.267288,186.543945,179.118210,184.830444,184.830444,2408040965
2021-03-28,184.824356,187.745636,181.670151,185.028488,185.028488,2162823815
2021-03-29,185.015610,197.488892,183.475006,194.474777,194.474777,3353971422
2021-03-30,194.470825,200.121155,191.152344,196.682098,196.682098,3604665752
2021-03-31,196.688950,199.282684,189.491013,197.499100,197.499100,3416343750
2021-04-01,197.524368,205.466995,195.942993,204.112518,204.112518,3871809467
2021-04-02,204.053619,214.403564,202.508560,213.228394,213.228394,4095228243
2021-04-03,213.159744,218.240234,197.146210,197.148209,197.148209,4020429578
2021-04-04,197.109772,206.219879,195.534042,204.042908,204.042908,2866830149
2021-04-05,204.047775,225.400848,200.928452,221.069046,221.069046,4789647554
2021-04-06,221.614639,244.517471,217.633453,237.664902,237.664902,9267495720
2021-04-07,237.561569,243.151276,212.226654,219.423676,219.423676,8711169124
2021-04-08,219.846619,228.353668,218.084396,227.003021,227.003021,4532286410
2021-04-09,227.022171,228.967148,220.109406,221.862366,221.862366,3137324847
2021-04-10,221.716019,255.675980,220.200729,255.620193,255.620193,6686630635
2021-04-11,256.921326,264.514282,246.412827,253.634460,253.634460,6786514965
2021-04-12,253.176010,258.596619,241.104385,244.494370,244.494370,5220366581
2021-04-13,244.712189,273.252716,244.670029,266.981476,266.981476,6908471654
2021-04-14,267.232483,282.678314,256.762665,279.748413,279.748413,8215124752
2021-04-15,279.341156,290.790527,267.177734,286.590607,286.590607,6470712244
2021-04-16,286.280670,316.968597,267.473083,310.612732,310.612732,11850832933
2021-04-17,309.556641,335.024536,300.613129,304.759918,304.759918,13254117896
2021-04-18,304.647034,307.304260,238.337418,273.098816,273.098816,13129808269
2021-04-19,273.645142,281.352539,251.514481,261.919220,261.919220,9384818110
2021-04-20,261.280304,272.592438,235.673401,260.941345,260.941345,9446199109
2021-04-21,261.067902,276.310242,251.684235,258.805603,258.805603,7698253801
2021-04-22,258.059418,289.329193,241.301437,253.078354,253.078354,9862940091
2021-04-23,253.104797,256.656189,212.028168,241.358780,241.358780,9252716255
2021-04-24,241.457794,241.457794,221.283707,224.835770,224.835770,4567973779
2021-04-25,224.921844,235.206070,212.286835,223.632858,223.632858,3703413398
2021-04-26,223.987137,247.958694,221.910385,247.405930,247.405930,4935577761
2021-04-27,247.578278,262.616119,243.995392,259.652283,259.652283,4605576124
2021-04-28,259.790955,266.307495,248.507736,258.505157,258.505157,4235575377
2021-04-29,258.576996,262.546967,249.293045,255.585266,255.585266,3555940124
2021-04-30,255.329620,270.172638,252.919006,265.546326,265.546326,3764514048
